,0
0,28.12652289867401
1,40.07632732391358
2,33.08407366275787
3,25.162300467491153
4,28.825432062149048
5,47.04712629318237
6,50.30978604366907
7,8.217091113328934
8,9.104806498477348
9,1.5058015536227819e-05
10,1.5058015536227819e-05
11,1.5058015536227819e-05
12,19.845718145370483
13,43.13017129898072
14,70.42319774627686
15,93.22142601013184
16,110.19136905670167
17,108.90687704086305
18,10.28123031556606
19,8.493661848851808e-07
20,8.493661848851808e-07
21,8.493661848851808e-07
22,97.27861881256105
23,150.00000000000003
